inventory_id,source_path,line,anchor,rule_text,extraction_basis,decision_kind,language,domain,backend_expected,detector_expected,fixture_expected,test_expected,failure_criterion,source_hash
ARS-RULE-00002,ai-ressources/architecture/database-migrations.md,13,#1-migration-types,"Schema migration (DDL) | Structural changes: CREATE, ALTER, DROP tables/columns/indexes | Medium–High | Reversible if additive; destructive changes require backup",list-or-table-row,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00004,ai-ressources/architecture/database-migrations.md,15,#1-migration-types,Combined (DDL + DML) | Schema change followed by data backfill in one migration | High | Difficult — avoid when possible,list-or-table-row+normative-keyword,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00006,ai-ressources/architecture/database-migrations.md,18,#1-migration-types,"**Rule:** Never combine DDL and DML in a single migration file. Separate them into two sequential migrations — the schema change first, then the data backfill. This keeps each migration atomic, reviewable, and independently reversible.",normative-keyword+colon-normative,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00010,ai-ressources/architecture/database-migrations.md,31,#numbering-strategies,**Recommendation:** Use timestamp-based naming for teams with parallel branches. Use sequential numbering for solo developers or linear trunk-based workflows.,normative-keyword+colon-normative,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00011,ai-ressources/architecture/database-migrations.md,55,#migration-ledger,The ledger is the source of truth for which migrations have run. Never modify it manually.,normative-keyword,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00018,ai-ressources/architecture/database-migrations.md,67,#tooling,"**Recommendation:** For Node/TS projects, prefer Drizzle Kit or raw SQL files. Use ORM-generated migrations as a starting point, then review and edit the generated SQL before committing.",normative-keyword+colon-normative,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00019,ai-ressources/architecture/database-migrations.md,73,#3-zero-downtime-migrations-expand-contract,The expand/contract pattern ensures the database schema is always compatible with both the old and new versions of the application code during deployment.,normative-keyword,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00047,ai-ressources/architecture/database-migrations.md,179,#forward-only-vs-reversible,"**Default stance:** Write reversible migrations for additive changes (add column, add table, add index). Use forward-only for data migrations and destructive changes — a down migration that ""un-drops"" a column cannot restore lost data.",normative-keyword+colon-normative,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00062,ai-ressources/architecture/database-migrations.md,251,#7-anti-patterns,Deploying code before migration completes | New code expects column/table that does not yet exist | Always run migrations before deploying dependent code,list-or-table-row+normative-keyword,executable-candidate,language-agnostic,architecture,source-family:database_sql,source-family.database_sql.detector,generated/database_sql,pytest:tests/test_conventions_source_family_checks.py::database_sql,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:f558a41d76b95517f54b9c10cddd4bd4fc0a0b66a3788baa9b4fa754de4932f0
ARS-RULE-00065,ai-ressources/code-conventions/astro.md,8,#architecture,"Use Astro for content-heavy sites: blogs, docs, marketing, changelogs — not for stateful apps",list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00071,ai-ressources/code-conventions/astro.md,16,#component-syntax,Use `<slot />` for composition (equivalent to React `children`),list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00082,ai-ressources/code-conventions/astro.md,45,#client-directives-hydration,Prefer `client:idle` or `client:visible` over `client:load` for non-critical interactivity,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00083,ai-ressources/code-conventions/astro.md,46,#client-directives-hydration,Never use `client:load` on below-the-fold components,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00088,ai-ressources/code-conventions/astro.md,53,#routing,Static routes always win over dynamic routes at the same depth,list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00089,ai-ressources/code-conventions/astro.md,54,#routing,Use `getStaticPaths()` for dynamic routes in static mode,list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00093,ai-ressources/code-conventions/astro.md,73,#content-collections,"Use the content layer API for external data sources (CMS, APIs)",list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00095,ai-ressources/code-conventions/astro.md,92,#data-fetching,Use `getCollection()` / `getEntry()` for content collections — not raw file reads,list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00097,ai-ressources/code-conventions/astro.md,94,#data-fetching,Never fetch data client-side for content that can be resolved at build time,list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00102,ai-ressources/code-conventions/astro.md,103,#server-islands,Use `server:defer` on components to render them asynchronously outside the main page render,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00103,ai-ressources/code-conventions/astro.md,104,#server-islands,"Deferred islands do not block initial page load — the page ships with a placeholder, then fetches the island HTML",list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00104,ai-ressources/code-conventions/astro.md,105,#server-islands,"Use for personalized or slow content (user avatar, recommendations, dynamic pricing)",list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00107,ai-ressources/code-conventions/astro.md,118,#view-transitions,"Use `transition:animate` for entry/exit animations (`fade`, `slide`, `none`)",list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00108,ai-ressources/code-conventions/astro.md,119,#view-transitions,Use `transition:name` for cross-page element morphing,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00109,ai-ressources/code-conventions/astro.md,120,#view-transitions,Use `transition:persist` to keep interactive islands alive across navigations,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00111,ai-ressources/code-conventions/astro.md,124,#middleware,Use `defineMiddleware()` from `astro:middleware`,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00114,ai-ressources/code-conventions/astro.md,129,#image-optimization,Use `<Image />` from `astro:assets` — never raw `<img>` for local images,list-or-table-row+normative-keyword+colon-normative,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00116,ai-ressources/code-conventions/astro.md,131,#image-optimization,Use `<Picture />` for art direction with multiple formats/sizes,list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00126,ai-ressources/code-conventions/astro.md,145,#environment-variables,Never prefix secrets with `PUBLIC_` — they will be bundled into client JS,list-or-table-row+normative-keyword,executable-candidate,typescript,code,source-family:javascript_code,source-family.javascript_code.detector,generated/javascript_code,pytest:tests/test_conventions_source_family_checks.py::javascript_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:60c989bcfc6a34b1c31c356b74778d69e2921e0b208fba9e60a30c71a1edf283
ARS-RULE-00134,ai-ressources/code-conventions/cli.md,23,#entry-point-architecture,Never `import` the full application at the top of the entry point — use `await import(...)` for the main module,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
ARS-RULE-00136,ai-ressources/code-conventions/cli.md,27,#command-registration-commander-js,Use **Commander.js** for argument parsing — never `switch` on `process.argv` manually,list-or-table-row+normative-keyword,executable-candidate,shell,code,source-family:shell_code,source-family.shell_code.detector,generated/shell_code,pytest:tests/test_conventions_source_family_checks.py::shell_code,"The final implementation must provide a deterministic detector, PASS fixture, FAIL fixture, and focused test proving this exact ARS obligation fails when violated and passes when respected.",sha256:65402a26948172daa7145a287e8a10c394c46fd42a8230437e4107cc05f3268f
